level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
monica,DEU_1988_MONICA-ZWK,Germany,DEU,Yes,1988,1988,1988,"MONICA, Zwickau",MONICA-ZWK,Community,urban, 25-64, 25-64,241,182,,,236,180,235,180,235,180,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1988_MONICA-BERa,Germany,DEU,Yes,1988,1988,1988,"MONICA, Berlin-Lichtenberg",MONICA-BERa,Community,urban, 25-64, 25-64,709,687,,,709,686,709,686,709,686,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1988_MONICA-CHM,Germany,DEU,Yes,1988,1988,1988,"MONICA, Chemnitz",MONICA-CHM,Community,urban, 25-64, 25-64,369,274,,,366,274,365,272,365,272,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,DEU_1988_GCP,Germany,DEU,Yes,1988,1988,1988,German Cardiovascular Prevention Study (GCP) - National Health Survey 1988,GCP,Subnational,both, 25-69, 25-69,2576,2606,,,2562,2573,2556,2573,2556,2573,,,2576,2606,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1989_MONICA-COTa,Germany,DEU,Yes,1989,1990,1989,"MONICA, Cottbus County",MONICA-COTa,Community,urban, 25-64, 25-64,526,536,,,516,525,516,525,516,525,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1989_MONICA-KMS,Germany,DEU,Yes,1988,1989,1989,"MONICA, Rest of Karl-Marx-Stadt County",MONICA-KMS,Subnational,urban, 25-64, 25-64,587,520,,,587,517,586,517,586,517,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1989_MONICA-HACa,Germany,DEU,Yes,1988,1989,1989,"MONICA, Halle County",MONICA-HACa,Subnational,urban, 25-64, 25-64,1143,911,,,1137,906,1135,902,1135,902,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1990_MONICA-AUG,Germany,DEU,Yes,1989,1990,1990,"MONICA, Augsburg",MONICA-AUG,Community,both, 25-64, 25-64,1929,1915,,,1923,1895,1923,1895,1923,1895,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1991_MONICA-BRE2,Germany,DEU,Yes,1991,1992,1991,"MONICA, Bremen Center/South/East",MONICA-BRE2,Community,urban, 25-69, 25-69,523,517,,,508,503,508,503,508,503,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1991_MONICA-BRE1,Germany,DEU,Yes,1991,1992,1991,"MONICA, Bremen North/West",MONICA-BRE1,Community,urban, 25-69, 25-69,604,573,,,558,527,557,527,557,527,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,DEU_1992_GCPEast,Germany,DEU,Yes,1991,1992,1992,"First National Examination of life conditions, Environment and Health in East Germany 1991/92",GCPEast,Subnational,both, 25-69, 25-69,1152,1050,,,1042,950,1041,950,1041,950,,,1152,1050,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,DEU_1992_GCP,Germany,DEU,Yes,1991,1992,1992,German Cardiovascular Prevention Study (GCP) - National Health Survey 1991,GCP,Subnational,both, 25-69, 25-69,2645,2592,,,2549,2478,2548,2477,2548,2477,,,2645,2592,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1992_MONICA-ERF,Germany,DEU,Yes,1991,1992,1992,"MONICA, Erfurt",MONICA-ERF,Community,urban, 25-64, 25-64,571,585,,,570,583,570,583,570,583,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1994_MONICA-ZWK,Germany,DEU,Yes,1993,1994,1994,"MONICA, Zwickau",MONICA-ZWK,Community,urban, 25-64, 25-64,131,107,,,131,107,131,107,131,107,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1994_MONICA-CHM,Germany,DEU,Yes,1993,1994,1994,"MONICA, Chemnitz",MONICA-CHM,Community,urban, 25-64, 25-64,425,406,,,425,405,425,405,425,405,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,DEU_1995_MONICA-AUG,Germany,DEU,Yes,1994,1995,1995,"MONICA, Augsburg",MONICA-AUG,Community,both, 25-64, 25-64,1908,1872,,,1908,1863,1908,1863,1908,1863,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,DEU_1998_BGS,Germany,DEU,Yes,1997,1999,1998,German National Health Interview and Examination Survey (GNHIES98) ,BGS,National,both, 18-79, 18-79,3442,3278,3387,3096,3442,3274,3442,3274,3442,3274,3442,3278,3442,3278,,,1,2,"Mean fasting time was 6.8 hours (SD 4.7); fasting time was <4 hrs in 29.1%, 4-8 hrs. in 45.7%, > 8 hrs. in  25.2%",lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,DEU_1999_SHIP,Germany,DEU,Yes,1997,2001,1999,Study of Health in Pomerania (SHIP-0)  baseline study,SHIP,Subnational,both, 20-80, 20-80,2182,2104,2165,2085,2175,2099,2175,2098,2175,2098,2181,2104,2182,2104,,,1,0,,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,DEU_2000_KORAS4,Germany,DEU,Yes,1999,2001,2000,KORA S4 Study: Kooperative Research in the Region of Augsburg Survey 4,KORAS4,Community,both, 24-75, 24-75,2132,2069,2126,2062,2130,2065,2130,2065,2130,2065,854,898,2132,2069,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,DEU_2001_ESTHER,Germany,DEU,Yes,2000,2002,2001,"Epidemiological study of the chances of prevention, early recognition and optimal treatment of chronic diseases in an elderly population (ESTHER)",ESTHER,Subnational,both, 50-75, 50-75,5270,4340,2599,2190,3216,2793,3306,2831,3308,2832,5267,4337,5270,4340,5410,4426,0,1,,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,DEU_2002_HNRS,Germany,DEU,Yes,2000,2003,2002,Heinz Nixdorf Recall Study,HNRS,Subnational,urban, 45-75, 45-75,2402,2381,2394,2374,2401,2379,2404,2379,2404,2379,2400,2377,2402,2381,2274,2226,0,0,9.714916895,,,,,North Western Europe,High-income Western countries
summary,DEU_2002_EMIL,Germany,DEU,Yes,2002,2002,2002,Echinoccoccus Multilocularis and Internal Diseases in Leutkirch ,EMIL,Community,urban, 12-65, 12-65,1075,950,1075,950,1075,950,1075,950,1075,950,1075,950,1075,950,,,1,1,6.2,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,DEU_2004_SHIP,Germany,DEU,Yes,2002,2006,2004,Study of Health in Pomerania (SHIP-1) 5-year follow-up ,SHIP,Subnational,both, 25-85, 25-85,1701,1586,1700,1586,1700,1577,1700,1577,1700,1577,1699,1584,1701,1586,,,1,0,,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,DEU_2005_KIGGS,Germany,DEU,Yes,2003,2006,2005,German Health Interview and Examination Survey for Children and Adolescents (KiGGS),KIGGS,National,both, 10-17, 10-17,3558,3756,3559,3756,3559,3756,3558,3755,3558,3755,3559,3755,3558,3756,,,0,0,,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,DEU_2007_HNRS,Germany,DEU,Yes,2005,2008,2007,Heinz Nixdorf Recall Study,HNRS,Subnational,both, 50-80, 50-80,2082,2045,2080,2045,2080,2045,2080,2045,2080,2045,2082,2045,2082,2045,2103,2054,0,0,11.85617522,,,,,North Western Europe,High-income Western countries
individual,DEU_2007_KORAF4,Germany,DEU,Yes,2006,2008,2007,KORA F4 Study: Kooperative Research in the Region of Augsburg Follow-up of Survey 4,KORAF4,Community,both, 31-81, 31-81,1580,1479,1579,1479,1579,1479,1579,1481,1579,1481,1579,1479,1580,1479,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,DEU_2007_HELENA,Germany,DEU,Yes,2006,2007,2007,HELENA,HELENA,Community,urban, 12-17, 12-17,52,70,52,70,52,70,52,70,52,70,52,70,52,70,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,DEU_2009_ESTHER,Germany,DEU,Yes,2008,2011,2009,"Epidemiological study of the chances of prevention, early recognition and optimal treatment of chronic diseases in an elderly population (ESTHER)",ESTHER,Subnational,both, 58-84, 58-84,2488,2082,2440,1989,2487,2082,2487,2082,2487,2082,2488,2081,2488,2082,3133,2559,1,,,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,DEU_2010_DEGS1,Germany,DEU,Yes,2008,2011,2010,German Health Interview and Examination Survey for adults 2008-11 (DEGS1),DEGS1,National,both, 18-79, 18-79,3641,3372,3645,3375,3644,3376,3640,3372,3640,3372,3645,3376,3641,3372,,,0,1," <4 hrs in 11.0%, 4-8 hrs. in 42.9%, > 8 hrs. in  46.1%",lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,DEU_2010_SHIPTREND,Germany,DEU,Yes,2008,2012,2010,"Study of Health in Pomerania, second cohort (SHIP-TREND)",SHIPTREND,Subnational,both, 20-79, 20-79,2233,2098,2233,2098,2232,2096,2232,2096,2232,2096,2232,2097,2233,2098,2232,2096,0,1,8.876041042,,,,,North Western Europe,High-income Western countries
individual,DEU_2013_HNRS,Germany,DEU,Yes,2011,2014,2013,Heinz Nixdorf Recall Study,HNRS,Subnational,both, 56-85, 56-85,1557,1492,1558,1492,1558,1490,1557,1490,1557,1490,1558,1492,1557,1492,1573,1504,0,0,11.11349622,,,,,North Western Europe,High-income Western countries
summary,DEU_2014_IDEFICS-IFAMILY,Germany,DEU,Yes,2013,2014,2014,IDEFICS/ I.Family-study,IDEFICS-IFAMILY,Community,urban, 10-15, 10-15,209,235,209,235,209,235,209,235,209,235,209,234,209,235,,,0,1,min 8 hours,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,DEU_2016_KIGGS2,Germany,DEU,Yes,2014,2017,2016,German Health Interview and Examination Survey for Children and Adolescents (KiGGS) - Wave 2,KIGGS2,National,both, 10-17, 10-17,948,872,948,871,948,872,948,872,948,872,948,872,948,872,,,0,0,,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,GHA_2003_ACCRA,Ghana,GHA,Yes,2003,2003,2003,Women's Health Study of Accra (WHSA-I),ACCRA,Community,urban, 18+, ,874,,870,,826,,799,,800,,887,,874,,,,1,,,,,,,West Africa,Sub-Saharan Africa
individual,GHA_2006_STEPS,Ghana,GHA,Yes,2006,2006,2006,STEPS,STEPS,Community,urban, 25+, 25+,1092,443,,,,,,,,,1163,613,1092,443,,,,,,accutrend,,,accutrend,West Africa,Sub-Saharan Africa
individual,GHA_2013_RODAM-rural,Ghana,GHA,Yes,2012,2014,2013,"Research on Obesity and Diabetes among African Migrants (RODAM), control group",RODAM-rural,Subnational,rural, 25+, 25+,665,427,665,426,658,420,659,420,659,420,666,427,665,427,679,432,0,1,14.69228923,lab,lab,lab,lab,West Africa,Sub-Saharan Africa
individual,GHA_2013_RODAM-urban,Ghana,GHA,Yes,2012,2014,2013,"Research on Obesity and Diabetes among African Migrants (RODAM), control group",RODAM-urban,Subnational,urban, 25+, 25+,1031,416,1030,415,1029,412,1029,412,1029,412,1031,416,1031,416,1033,419,0,1,14.76495638,lab,lab,lab,lab,West Africa,Sub-Saharan Africa
last round,GRC_2001_10300200,Greece,GRC,No,NA,NA,2001,"Karalis, 2007 (45)",NA,Community,rural, 24+, 24+,103,91,,,,,,,,,,,,,,,,,,,,,,South Western Europe,High-income Western countries
individual,GRC_2007_HELENA2,Greece,GRC,Yes,2006,2007,2007,HELENA,HELENA2,Community,urban, 12-17, 12-17,50,51,50,51,50,51,50,51,50,51,50,50,50,51,,,0,1,,,,,,South Western Europe,High-income Western countries
individual,GRC_2007_HELENA1,Greece,GRC,Yes,2006,2007,2007,HELENA,HELENA1,Community,urban, 12-17, 12-17,59,44,59,44,59,44,59,44,59,44,59,43,59,44,,,0,1,,,,,,South Western Europe,High-income Western countries
summary,GRC_2008_HGS,Greece,GRC,Yes,2007,2009,2008,Healthy Growth Study,HGS,Subnational,both, 9-13, 9-13,1187,1217,1187,1217,1187,1217,1187,1217,1187,1217,1187,1217,1177,1207,,,1,1,10,lab,lab,lab,lab,South Western Europe,High-income Western countries
individual,GRC_2014_HNNHS,Greece,GRC,Yes,2013,2015,2014,Hellenic National Nutrition and Health Survey (HNNHS),HNNHS,National,both, 10+, 10+,712,440,712,440,711,439,711,439,711,439,712,440,712,440,457,291,1,1,,,,,,South Western Europe,High-income Western countries
summary,GRC_2015_EMENO,Greece,GRC,Yes,2013,2016,2015,National Survey of Morbidity and Risk Factors (EMENO),EMENO,National,both, 18+, 18+,2524,1895,2519,1886,2525,1892,2524,1891,2524,1891,2525,1895,2524,1895,,,1,0,,lab,,lab,,South Western Europe,High-income Western countries
individual,GRL_2008_IHIT,Greenland,GRL,Yes,2005,2010,2008,Population Health Survey in Greenland ,IHIT,National,both, 18+, 18+,1726,1355,1721,1338,1726,1355,1726,1355,1726,1355,1726,1355,1726,1355,1727,1356,1,1,,,,,,North Western Europe,High-income Western countries
individual,GTM_2002_CAMDI,Guatemala,GTM,Yes,2001,2002,2002,CAMDI,CAMDI,Community,urban, 20+, 20+,626,338,611,319,626,338,626,338,626,338,,,626,338,,,0,1,,lab,lab,lab,,Central Latin America,Latin America and Caribbean
last round,GTM_2003_12320001.2,Guatemala,GTM,No,NA,NA,2003,"Gregory, 2007 (77)",NA,Community,both, 25-44, 25-44,633,418,,,,,,,,,,,,,,,,,,,,,,Central Latin America,Latin America and Caribbean
last round,GTM_2003_12320001.1,Guatemala,GTM,No,NA,NA,2003,"Gregory, 2007 (77)",NA,Community,both, 25-44, 25-44,633,418,,,,,,,,,,,,,,,,,,,,,,Central Latin America,Latin America and Caribbean
individual,GTM_2004_INSTC,Guatemala,GTM,Yes,2003,2005,2004,The Institute of Nutrition of Central America and Panama Nutrition Supplementation Trial Cohort,INSTC,Community,both, 25-41, 25-41,269,203,262,183,268,197,262,187,262,187,269,203,269,203,,,1,,12.04841438,cholestech,cholestech,cholestech,cholestech,Central Latin America,Latin America and Caribbean
individual,GIN_2009_STEPS,Guinea,GIN,Yes,2009,2009,2009,STEPS,STEPS,Subnational,both, 15-64, 15-64,1229,1113,,,,,,,,,,,1229,1113,1225,1113,,,,accutrend,,,,West Africa,Sub-Saharan Africa
individual,GUY_2016_STEPS,Guyana,GUY,Yes,2016,2016,2016,STEPS,STEPS,National,both, 18-69, 18-69,557,331,539,316,560,331,556,330,557,331,560,331,557,331,,,1,,,,,,,Caribbean,Latin America and Caribbean
individual,HTI_2016_Carrefour,Haiti,HTI,Yes,2015,2016,2016,Carrefour,Carrefour,Community,urban, 25-65, 25-65,665,454,646,438,655,449,653,443,654,445,663,456,665,454,,,1,0,,,,,,Caribbean,Latin America and Caribbean
individual,HTI_2016_Thomonde,Haiti,HTI,Yes,2015,2016,2016,Thomonde,Thomonde,Community,rural, 25-65, 25-65,443,255,433,252,441,255,440,255,440,255,444,255,443,255,,,1,0,,,,,,Caribbean,Latin America and Caribbean
individual,HND_2004_CAMDI,Honduras,HND,Yes,2003,2004,2004,CAMDI,CAMDI,Community,urban, 20+, 20+,786,434,761,398,786,434,785,435,786,435,,,786,434,,,0,1,,lab,lab,lab,,Central Latin America,Latin America and Caribbean
report,HUN_1983_MONICA-PECa,Hungary,HUN,Report,1982,1983,1983,"MONICA, Pecs",MONICA-PECa,Community,urban, 25-64, 25-64,862,823,,,862,823,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
report,HUN_1983_MONICA-BUDa,Hungary,HUN,Report,1982,1984,1983,"MONICA, Budapest",MONICA-BUDa,Community,urban, 25-64, 25-64,738,776,,,738,776,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
report,HUN_1987_FHRNS,Hungary,HUN,Report,1985,1988,1987,First Hungarian Representative Nutrition Survey,FHRNS,National,both, 15+, 15+,2980,2040,2949,2000,3160,2177,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
report,HUN_1988_MONICA-BUDa,Hungary,HUN,Report,1987,1988,1988,"MONICA, Budapest",MONICA-BUDa,Community,urban, 25-64, 25-64,1603,1417,,,1603,1417,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
report,HUN_1988_MONICA-PECa,Hungary,HUN,Report,1987,1988,1988,"MONICA, Pecs",MONICA-PECa,Community,urban, 25-64, 25-64,1522,1584,,,1522,1584,,,,,,,,,,,,,,,,,,Central Europe,Central and Eastern Europe
individual,HUN_2003_EMAS,Hungary,HUN,Yes,2003,2003,2003,The European Male Ageing Study,EMAS,Community,both, , 40+,,424,,395,,418,,416,,416,,425,,424,,,1,1,,,,,,Central Europe,Central and Eastern Europe
individual,HUN_2007_HELENA,Hungary,HUN,Yes,2006,2007,2007,HELENA,HELENA,Community,urban, 12-17, 12-17,81,53,81,53,81,53,81,53,81,53,81,53,81,53,,,0,1,,,,,,Central Europe,Central and Eastern Europe
individual,HUN_2008_EMAS,Hungary,HUN,Yes,2008,2008,2008,The European Male Ageing Study,EMAS,Community,both, , 40+,,348,,336,,347,,347,,347,,348,,348,,241,1,1,,,,,,Central Europe,Central and Eastern Europe
summary,HUN_2014_IDEFICS-IFAMILY,Hungary,HUN,Yes,2013,2014,2014,IDEFICS/ I.Family-study,IDEFICS-IFAMILY,Community,urban, 10-15, 10-15,279,266,279,266,279,266,279,266,279,266,279,266,279,266,,,0,1,min 8 hours,lab,lab,lab,lab,Central Europe,Central and Eastern Europe
summary,ISL_1968_RVKSTM,Iceland,ISL,Yes,1967,1968,1968,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 33-61,,2185,,,,,,,,,,1775,,2185,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1969_RVKSTW,Iceland,ISL,Yes,1968,1969,1969,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 33-61, ,2361,,,,,,,,,,2350,,2361,,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1971_RVKSTM,Iceland,ISL,Yes,1970,1971,1971,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 36-64,,4036,,,,,,,,,,3938,,4036,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1972_RVKSTW,Iceland,ISL,Yes,1971,1972,1972,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 36-64, ,4172,,,,,,,,,,4095,,4172,,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1974_YRVKST,Iceland,ISL,Yes,1973,1974,1974,The Reykjavik Study for the young,YRVKST,Subnational,urban, 19-34, 19-34,796,681,,,,,,,,,789,667,796,681,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1975_RVKSTM,Iceland,ISL,Yes,1974,1976,1975,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 39-70,,5544,,,,,,,,,,5542,,5544,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1978_RVKSTW,Iceland,ISL,Yes,1977,1979,1978,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 42-71, ,3890,,,,,,,,,,3868,,3890,,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1980_RVKSTM,Iceland,ISL,Yes,1979,1981,1980,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 45-74,,3240,,,,,,,,,,3239,,3240,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
monica,ISL_1983_MONICA-Arnes,Iceland,ISL,Yes,1983,1983,1983,"MONICA, Arnes County",MONICA-Arnes,Community,rural, 25-64, 25-64,449,387,,,448,386,448,385,448,385,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,ISL_1983_RVKSTW,Iceland,ISL,Yes,1981,1984,1983,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 46-75, ,3579,,,,,,,,,,3573,,3579,,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
monica,ISL_1983_MONICA-Reyk,Iceland,ISL,Yes,1983,1983,1983,"MONICA, Reykjavik",MONICA-Reyk,Subnational,urban, 25-64, 25-64,460,435,,,459,433,459,433,459,433,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,ISL_1984_YRVKST,Iceland,ISL,Yes,1983,1985,1984,The Reykjavik Study for the young,YRVKST,Subnational,urban, 29-45, 29-45,902,829,,,,,,,,,876,796,902,829,,,,1,10,lab,,,lab,North Western Europe,High-income Western countries
summary,ISL_1986_RVKSTM,Iceland,ISL,Yes,1985,1987,1986,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 51-79,,2590,,1106,,1109,,1109,,1109,,1683,,2590,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
monica,ISL_1989_MONICA-Reyk,Iceland,ISL,Yes,1988,1989,1989,"MONICA, Reykjavik",MONICA-Reyk,Subnational,urban, 25-64, 25-64,444,413,,,444,413,444,413,444,413,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,ISL_1989_MONICA-Arnes,Iceland,ISL,Yes,1988,1989,1989,"MONICA, Arnes County",MONICA-Arnes,Community,rural, 25-64, 25-64,438,389,,,437,388,437,388,437,388,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,ISL_1989_RVKSTW,Iceland,ISL,Yes,1987,1991,1989,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 52-82, ,3027,,2999,,3003,,3003,,3003,,3023,,3027,,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
monica,ISL_1993_MONICA-Reyk,Iceland,ISL,Yes,1993,1994,1993,"MONICA, Reykjavik",MONICA-Reyk,Subnational,urban, 25-64, 25-64,446,443,,,446,443,446,443,446,443,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
monica,ISL_1993_MONICA-Arnes,Iceland,ISL,Yes,1993,1994,1993,"MONICA, Arnes County",MONICA-Arnes,Community,rural, 25-64, 25-64,484,422,,,484,421,484,421,484,421,,,,,,,,,,lab,,lab,,North Western Europe,High-income Western countries
summary,ISL_1993_RVKSTM,Iceland,ISL,Yes,1991,1994,1993,The Reykjavik Study (Men),RVKSTM,Subnational,urban, , 70-86,,824,,821,,822,,822,,822,,824,,824,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_1995_RVKSTW,Iceland,ISL,Yes,1994,1996,1995,The Reykjavik Study (Women),RVKSTW,Subnational,urban, 69-88, ,1188,,1187,,1188,,1188,,1188,,1188,,1188,,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2002_YRVKST,Iceland,ISL,Yes,2001,2003,2002,The Reykjavik Study for the young,YRVKST,Subnational,urban, 47-62, 47-62,714,631,713,630,714,631,714,631,714,631,713,630,714,631,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2004_AGES,Iceland,ISL,Yes,2002,2006,2004,AGES-Reykjavik Study,AGES,Subnational,urban, 66-96, 66-96,3285,2419,3281,2414,3285,2418,3285,2418,3285,2418,3285,2419,3285,2419,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2008_REFINE,Iceland,ISL,Yes,2005,2011,2008,Risk Evaluation For INfarct Estimates (REFINE),REFINE,Subnational,urban, 20-73, 20-73,3515,3394,3498,3356,3513,3393,3513,3393,3513,3393,3512,3394,3515,3394,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2009_AGESII,Iceland,ISL,Yes,2007,2011,2009,AGES-Reykjavik Study - follow up visit,AGESII,Subnational,urban, 71-98, 71-98,1929,1395,1923,1389,1929,1395,1929,1395,1929,1395,1928,1395,1929,1395,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2011_REFINELO,Iceland,ISL,Yes,2010,2012,2011,Risk Evaluation For INfarct Estimates (REFINE) follow-up visit (REFINELO),REFINELO,Subnational,urban, 26-74, 26-74,665,653,664,648,665,654,665,653,665,653,665,654,665,653,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,ISL_2013_REFLOCT,Iceland,ISL,Yes,2012,2013,2013,Risk Evaluation For INfarct Estimates (REFINE) follow-up visit (REFLOCT),REFLOCT,Subnational,urban, 55-73, 55-73,560,516,559,514,560,516,560,516,560,516,560,516,560,516,,,1,1,10,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,IND_1989_citRamachandran,India,IND,Yes,1988,1989,1989,"Ramachandran et al., Diabetes Res Clin Pract 58:55-60, 2002",citRamachandran,Community,urban, 20-74, 20-74,,,,,,,,,,,240,259,,,,,,,,,,,,South Asia,South Asia
summary,IND_1996_ACES,India,IND,Yes,1995,1997,1996,Aravind Comprehensive Eye Survey,ACES,Community,rural, 40+, 40+,2783,2267,,,,,,,,,,,2783,2267,,,,,,lab,,,,South Asia,South Asia
last round,IND_1997_4356002,India,IND,No,NA,NA,1997,"Reddy, 2002 (21)",NA,Subnational,both, 20+, 20+,560,640,,,,,,,,,,,,,,,,,,,,,,South Asia,South Asia
summary,IND_1998_CUPS,India,IND,Yes,1996,1999,1998,Chennai Urban Population Study,CUPS,Community,urban, 20+, 20+,689,532,688,529,688,532,688,532,688,532,689,531,689,532,,,1,1,08-Dec,lab,lab,lab,lab,South Asia,South Asia
individual,IND_2000_VBC,India,IND,Yes,1998,2002,2000,Vellore Birth Cohort,VBC,Subnational,both, 25-31, 25-31,1053,1154,1051,1151,1054,1155,1052,1157,1052,1157,1055,1157,1053,1154,,,0,1,12,,,,,South Asia,South Asia
individual,IND_2000_JHW2,India,IND,Yes,1999,2001,2000,Jaipur Heart Watch 2,JHW2,Community,urban, 20-75, 20-75,555,518,555,518,554,518,553,518,553,518,555,518,555,518,,,1,1,,,,,,South Asia,South Asia
individual,IND_2001_NDBC,India,IND,Yes,1999,2002,2001,New Delhi Birth Cohort,NDBC,Community,urban, 26-33, 26-33,619,869,617,868,618,869,620,869,620,869,620,868,619,869,,,1,1,,lab,lab,lab,lab,South Asia,South Asia
individual,IND_2003_CURES,India,IND,Yes,2001,2004,2003,Chennai Urban Rural Epidemiology Study,CURES,Community,urban, 20+, 20+,1252,1096,1251,1092,1252,1093,1251,1093,1251,1093,1252,1096,1252,1096,,,1,1,,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Delhi-urban,India,IND,Yes,2003,2005,2004,"India STEPS, Delhi",STEPS-Delhi-urban,Subnational,urban, 15-69, 15-69,240,247,,,240,247,240,249,240,247,240,249,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Chennai-urban,India,IND,Yes,2003,2005,2004,"India STEPS, Chennai",STEPS-Chennai-urban,Subnational,urban, 15-69, 15-69,257,252,,,257,252,257,251,257,251,257,252,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Ballabgarh-urban,India,IND,Yes,2003,2005,2004,"India STEPS, Ballabgarh",STEPS-Ballabgarh-urban,Subnational,urban, 15-69, 15-69,255,245,,,255,245,255,245,255,245,255,245,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
summary,IND_2004_STEPS-Chennai-rural,India,IND,Yes,2003,2005,2004,"India STEPS, Chennai",STEPS-Chennai-rural,Subnational,rural, 15-69, 15-69,255,252,,,255,252,255,252,255,252,255,252,,,,,1,1,10-Dec,lab,lab,lab,lab,South Asia,South Asia
